dataset,seed,origin,MSE,run_mean_MSE,origin_relative_to_run_mean_pct
ETTm1,42,10,0.3334330227211812,0.3347256574014299,-0.38617735200934256
ETTm1,42,11,0.3437749965829105,0.3347256574014299,2.7035092713636466
ETTm1,43,0,0.3717699997323471,0.33915071981803097,9.617930320719292
ETTm1,43,1,0.3464258922566172,0.33915071981803097,2.145114845249241
ETTm1,43,2,0.3324168815306726,0.33915071981803097,-1.9855002197758376
ETTm1,43,3,0.329321420339044,0.33915071981803097,-2.8982098237210985
ETTm1,43,4,0.3311750886866832,0.33915071981803097,-2.351648003467899
ETTm1,43,5,0.3197982670508835,0.33915071981803097,-5.706151170055285
ETTm1,43,6,0.3193412924016579,0.33915071981803097,-5.84089204557835
ETTm1,43,7,0.3214142707020985,0.33915071981803097,-5.2296657738037045
ETTm1,43,8,0.3276117090072385,0.33915071981803097,-3.4023253192514646
ETTm1,43,9,0.3342772935591254,0.33915071981803097,-1.4369499971931043
ETTm1,43,10,0.3505335827972835,0.33915071981803097,3.3562844818256554
ETTm1,43,11,0.38572293975272,0.33915071981803097,13.73201270505251
ETTm1,44,0,0.3459442759191193,0.322838662596833,7.157015562024238
ETTm1,44,1,0.3307102234313621,0.322838662596833,2.4382336276616234
ETTm1,44,2,0.3214808058562323,0.322838662596833,-0.42059917163529414
ETTm1,44,3,0.318804582246234,0.322838662596833,-1.2495654387085886
ETTm1,44,4,0.3233955506581843,0.322838662596833,0.1724973263337759
ETTm1,44,5,0.3138179547555424,0.322838662596833,-2.7941844910179925
ETTm1,44,6,0.3160001745698004,0.322838662596833,-2.1182370079300794
ETTm1,44,7,0.3148753572710233,0.322838662596833,-2.4666516896566626
ETTm1,44,8,0.3168250403444481,0.322838662596833,-1.8627329837178963
ETTm1,44,9,0.3201170085427214,0.322838662596833,-0.8430384490566656
ETTm1,44,10,0.3233767206375457,0.322838662596833,0.16666468519743738
ETTm1,44,11,0.3287162569297829,0.322838662596833,1.8205980305060043
ETTm2,42,0,0.1914594158118151,0.2051682567398105,-6.681755328935035
ETTm2,42,1,0.1857782597530381,0.2051682567398105,-9.45077825141456
ETTm2,42,2,0.1819519697801264,0.2051682567398105,-11.315730478290531
ETTm2,42,3,0.1888855204950388,0.2051682567398105,-7.93628434705721
ETTm2,42,4,0.1889778089120858,0.2051682567398105,-7.891302526519517
ETTm2,42,5,0.2275227751199734,0.2051682567398105,10.895700307339617
ETTm2,42,6,0.2224675756068705,0.2051682567398105,8.431771630734563
ETTm2,42,7,0.1999191314746554,0.2051682567398105,-2.558449025480547
ETTm2,42,8,0.2030550412067438,0.2051682567398105,-1.029991464881741
ETTm2,42,9,0.2201391851980263,0.2051682567398105,7.296902891367618
ETTm2,42,10,0.2243965277871055,0.2051682567398105,9.371952246823367
ETTm2,42,11,0.2274658697322469,0.2051682567398105,10.867964346313897
ETTm2,43,0,0.1978011798928203,0.19945312800666934,-0.8282387598322338
ETTm2,43,1,0.1879554982511801,0.19945312800666934,-5.764577307157992
ETTm2,43,2,0.1864313129326869,0.19945312800666934,-6.528759515642701
ETTm2,43,3,0.1864865749667582,0.19945312800666934,-6.501052738304292
ETTm2,43,4,0.1875594689382219,0.19945312800666934,-5.963134891546917
ETTm2,43,5,0.2224625714401335,0.19945312800666934,11.536266020703767
ETTm2,43,6,0.2063900924705274,0.19945312800666934,3.4779923148791525
ETTm2,43,7,0.2040155509328847,0.19945312800666934,2.287466219162426
ETTm2,43,8,0.2004087939495417,0.19945312800666934,0.4791431212050945
ETTm2,43,9,0.1985996239501088,0.19945312800666934,-0.42792212139786123
ETTm2,43,10,0.2035022136739508,0.19945312800666934,2.030093840968017
ETTm2,43,11,0.2118246546812177,0.19945312800666934,6.202723816963496
ETTm2,44,0,0.2147276857906149,0.21711010199274497,-1.0973308843130969
ETTm2,44,1,0.1982202977230862,0.21711010199274497,-8.700564412378197
ETTm2,44,2,0.1917531585564175,0.21711010199274497,-11.679301517335572
ETTm2,44,3,0.1896328054751855,0.21711010199274497,-12.655927230174512
ETTm2,44,4,0.1956171610922543,0.21711010199274497,-9.899558197991587
ETTm2,44,5,0.2484171098528448,0.21711010199274497,14.419876170085356
ETTm2,44,6,0.2303391581157029,0.21711010199274497,6.0932476202328
ETTm2,44,7,0.2179873988433866,0.21711010199274497,0.4040792402515425
ETTm2,44,8,0.2217532788235234,0.21711010199274497,2.13862772305895
ETTm2,44,9,0.2249221204113957,0.21711010199274497,3.59818283301796
ETTm2,44,10,0.2323355940991396,0.21711010199274497,7.012797638915669
ETTm2,44,11,0.2396154551293883,0.21711010199274497,10.365871016630713
Weather,42,0,0.1495709327444558,0.1496920276781368,-0.08089604741101653
Weather,42,1,0.149252778341236,0.1496920276781368,-0.2934353577234372
Weather,42,2,0.1494817033233515,0.1496920276781368,-0.14050471360941286
Weather,42,3,0.1498936827200322,0.1496920276781368,0.13471328100984614
Weather,42,4,0.1537902976311791,0.1496920276781368,2.73780108173447
Weather,42,5,0.1481924095503291,0.1496920276781368,-1.001802267674612
Weather,42,6,0.1484422063772147,0.1496920276781368,-0.834928432935278
Weather,42,7,0.1490300657304307,0.1496920276781368,-0.4422159001877035
Weather,42,8,0.1490287913064296,0.1496920276781368,-0.44306726416537545
Weather,42,9,0.1494769667345359,0.1496920276781368,-0.14366893610615605
Weather,42,10,0.1496505706374176,0.1496920276781368,-0.027694888874341128
Weather,42,11,0.1504939270410293,0.1496920276781368,0.5356994459429165
Weather,43,0,0.150820871011215,0.15091488619639515,-0.06229682674100401
Weather,43,1,0.1514721594610333,0.15091488619639515,0.3692632838836918
Weather,43,2,0.150766017052263,0.15091488619639515,-0.09864443984566318
Weather,43,3,0.1507279616420348,0.15091488619639515,-0.12386091198258731
Weather,43,4,0.1530751616909016,0.15091488619639515,1.4314528864270981
Weather,43,5,0.1494751319030215,0.15091488619639515,-0.9540174131662527
Weather,43,6,0.1493728129159454,0.15091488619639515,-1.021816547933485
Weather,43,7,0.1496776437712728,0.15091488619639515,-0.8198279548859433
Weather,43,8,0.1507628690220043,0.15091488619639515,-0.1007304038867396
Weather,43,9,0.1517289983911921,0.15091488619639515,0.5394512200324053
Weather,43,10,0.1514285634658347,0.15091488619639515,0.3403754807667303
Weather,43,11,0.1516704440300233,0.15091488619639515,0.5006516273317718
Weather,44,0,0.1511737789709167,0.15107944807107712,0.06243794311135975
Weather,44,1,0.1511647921009196,0.15107944807107712,0.05648950332564073
Weather,44,2,0.1513633735506323,0.15107944807107712,0.18793123960951785
Weather,44,3,0.1515250592030774,0.15107944807107712,0.2949515223213073
Weather,44,4,0.1524225571435096,0.15107944807107712,0.8890084585168712
Weather,44,5,0.1498542573809668,0.15107944807107712,-0.8109578806072326
Weather,44,6,0.1507934689384819,0.15107944807107712,-0.1892905595344052
Weather,44,7,0.1505455204342633,0.15107944807107712,-0.3534085169298651
Weather,44,8,0.1500889161492401,0.15107944807107712,-0.6556364445884144
Weather,44,9,0.151222202946328,0.15107944807107712,0.09448993696594687
Weather,44,10,0.1516021249269539,0.15107944807107712,0.3459615868009358
Weather,44,11,0.1511973251076359,0.15107944807107712,0.07802321100836007
