window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
3062,0,6,0.0075604976154863834,0.01739322766661644,3.904095411300659,3.904095411300659,5.3693092418765406e-15,8.427213629147445e-07,8.427213629147445e-07
3063,0,6,0.006870313547551632,0.018042216077446938,3.721633195877075,3.721632957458496,4.883938610792619e-15,8.431343871961872e-07,8.431343871961872e-07
3064,0,6,0.006643709260970354,0.018092358484864235,3.659742832183838,3.659742832183838,5.0276720551286746e-15,8.699176419213472e-07,8.699176419213472e-07
3065,0,6,0.005222509149461985,0.017765650525689125,3.244776964187622,3.244776964187622,5.052597270151053e-15,9.835982837103074e-07,9.835982837103074e-07
3066,0,6,0.00610855408012867,0.018372731283307076,3.509251356124878,3.509251117706299,4.796226231522068e-15,8.860957336764841e-07,8.860957336764841e-07
3067,0,6,0.005115887150168419,0.016878636553883553,3.2114837169647217,3.211483955383301,5.148262018246901e-15,1.0031592410086887e-06,1.0031592410086887e-06
3068,0,6,0.005143097601830959,0.01522710733115673,3.220012903213501,3.220012903213501,4.4344965762323826e-15,9.285596433983301e-07,9.285596433983301e-07
3069,0,6,0.0038659395650029182,0.012727370485663414,2.7917261123657227,2.7917258739471436,4.66385361659106e-15,1.09836059891677e-06,1.09836059891677e-06
3070,0,6,0.0037718636449426413,0.010954230092465878,2.7575490474700928,2.7575490474700928,4.091907324451803e-15,1.0415614042358357e-06,1.0415614042358357e-06
3071,0,6,0.00326031562872231,0.012060902081429958,2.563746452331543,2.563746452331543,4.999037259313796e-15,1.238264303538017e-06,1.238264303538017e-06
3072,0,6,0.0036043981090188026,0.012682599015533924,2.6956381797790527,2.695638418197632,4.5246170701719775e-15,1.1204036809431273e-06,1.1204036809431273e-06
3073,0,6,0.004330631345510483,0.01349368505179882,2.9547507762908936,2.9547507762908936,4.793788047183396e-15,1.0521165449972614e-06,1.0521165449972614e-06
3074,0,6,0.0050376467406749725,0.015125318430364132,3.18683123588562,3.186831474304199,4.82029594326772e-15,9.781895187188638e-07,9.781895187188638e-07
3075,0,6,0.00461044255644083,0.014673174358904362,3.048713207244873,3.048713207244873,4.7792427974131454e-15,1.0181416882915073e-06,1.0181416882915073e-06
3076,0,6,0.005028585437685251,0.013720199465751648,3.183964252471924,3.1839640140533447,4.62173024460763e-15,9.586926807969576e-07,9.586926807969576e-07
3077,0,6,0.0038401009514927864,0.01360038947314024,2.7823808193206787,2.7823808193206787,4.592555041772403e-15,1.0935933687505894e-06,1.0935933687505894e-06
3078,0,6,0.004779117647558451,0.014608759433031082,3.1039814949035645,3.1039814949035645,4.597804104946538e-15,9.80847175924282e-07,9.80847175924282e-07
3079,0,6,0.003422619542106986,0.01251656748354435,2.6267852783203125,2.6267852783203125,4.489516024837759e-15,1.1453030310804024e-06,1.1453030310804024e-06
3080,0,6,0.003552036825567484,0.011721460148692131,2.6759870052337646,2.6759867668151855,4.953833228501202e-15,1.1809511306637432e-06,1.1809511306637432e-06
3081,0,6,0.002548367250710726,0.009550864808261395,2.2666070461273193,2.2666072845458984,4.70977762540882e-15,1.3594685697171371e-06,1.3594685697171371e-06
3082,0,6,0.0035551884211599827,0.010380452498793602,2.6771738529205322,2.6771738529205322,4.546767828775625e-15,1.1308892453598673e-06,1.1308892453598673e-06
3083,0,6,0.003120995592325926,0.010472139343619347,2.508371353149414,2.508371353149414,4.545519302211372e-15,1.2068273917975603e-06,1.2068273917975603e-06
3084,0,6,0.003456014906987548,0.011834011413156986,2.6395692825317383,2.6395692825317383,4.4631334896296296e-15,1.1364023748683394e-06,1.1364023748683394e-06
3085,0,6,0.004232710227370262,0.013087197206914425,2.921154499053955,2.921154499053955,4.6552240449244334e-15,1.0487235613254597e-06,1.0487235613254597e-06
3086,0,6,0.004081420600414276,0.013744107447564602,2.868474245071411,2.868474006652832,4.600407884226398e-15,1.0616771533022984e-06,1.0616771533022984e-06
3087,0,6,0.0081985117867589,0.015691174194216728,4.065488815307617,4.065488815307617,4.634911771332802e-15,7.518880806856032e-07,7.518880806856032e-07
3088,0,6,0.010810939595103264,0.015573942102491856,4.668496131896973,4.6684956550598145,4.723487700693078e-15,6.609972729165747e-07,6.609972729165747e-07
3089,0,6,0.005544718820601702,0.012794548645615578,3.343374490737915,3.343374490737915,5.1992800832094486e-15,9.683488997325185e-07,9.683488997325185e-07
3090,0,6,0.00683095958083868,0.012661618180572987,3.710958480834961,3.710958480834961,4.621062782645194e-15,8.224889711527794e-07,8.224889711527794e-07
3091,0,6,0.005358043126761913,0.013589607551693916,3.286611557006836,3.286611557006836,4.999843634679582e-15,9.659954685048433e-07,9.659954685048433e-07
3092,0,6,0.00335710309445858,0.013110104948282242,2.601522445678711,2.601522445678711,5.022359464483496e-15,1.2231269010953838e-06,1.2231269010953838e-06
3093,0,6,0.004484614823013544,0.013782696798443794,3.0068230628967285,3.0068228244781494,5.053806409683259e-15,1.0615652854539803e-06,1.0615652854539803e-06
3094,0,6,0.0042611220851540565,0.014171052724123001,2.9309420585632324,2.9309420585632324,5.136755922691399e-15,1.097949734685244e-06,1.097949734685244e-06
