layer,window_id,origin,stratum,forecast_mse,pc1,pc2,pc3
layer1,5393,0,1,0.11291822046041489,1.0217732708233904,0.07867991077596659,0.6071585796537081
layer1,5476,0,1,0.1311182826757431,0.9878809862255385,0.44789420055385754,0.4046931516696559
layer1,5770,0,1,0.13059554994106293,0.9812579460439522,-0.5886196719706576,-0.44511409709258976
layer1,379,0,2,0.14347994327545166,-0.36804456481732395,-0.02764500915697778,0.2737698716586336
layer1,463,0,2,0.16470016539096832,-0.36292587096745316,-0.07105648523926054,0.29064027981826035
layer1,1170,0,2,0.1435490995645523,0.24471742178263803,0.22778541954976356,0.6645372521567432
layer1,2552,0,2,0.13584178686141968,0.7178507323302253,-0.013546755855006566,0.5996793519846906
layer1,2705,0,2,0.20746031403541565,0.5309032017044799,0.9457614630283406,-0.3024786546002788
layer1,3363,0,2,0.16852892935276031,-1.109804629504628,0.3397983384515431,-0.4255389918909141
layer1,3365,0,2,0.20797647535800934,-0.9996418659622585,0.6805973740643833,0.009312745042662253
layer1,3978,0,2,0.18775972723960876,0.39288600495323334,0.04163115364212616,0.7071547030906923
layer1,4026,0,2,0.23954759538173676,0.37918855227429693,0.0689372717768306,0.6660103267495103
layer1,4198,0,2,0.20986534655094147,-0.200448732353611,-0.475206123300815,-0.44068141768576796
layer1,4374,0,2,0.17497222125530243,-0.6135944165432295,0.13063837654748434,0.6438741174172008
layer1,4406,0,2,0.19186362624168396,-0.855322445158747,0.6925356888523134,-0.19937940589759892
layer1,4409,0,2,0.21145819127559662,-0.6499503057626239,0.4736590783512303,0.6218203569191468
layer1,4435,0,2,0.16583222150802612,-0.7913991332556631,-0.19671502139472247,0.513577683647656
layer1,4481,0,2,0.1734115034341812,-0.6232979622289598,0.4309203130809675,0.6136214845768696
layer1,4533,0,2,0.20642739534378052,-0.8809125131991601,-0.6230155581314019,-0.05390493481535607
layer1,4722,0,2,0.15109118819236755,-0.6140784811787265,0.015046494527546235,0.692337416758696
layer1,4826,0,2,0.1514299511909485,-0.5629459209307908,0.6250231775416032,-0.08897847258093407
layer1,4891,0,2,0.14905066788196564,-0.3850534391282574,-0.42671898973148115,0.5484090630426117
layer1,4937,0,2,0.14661738276481628,-0.07744607272706466,0.2270273478880651,0.6995594233126587
layer1,4955,0,2,0.21851816773414612,-0.16327184640155054,-0.04338494589626809,-0.647032090028367
layer1,5584,0,2,0.13760673999786377,1.0041901362390753,0.4990234201487055,0.3288473636290865
layer1,5738,0,2,0.18650618195533752,1.1516542165283363,0.4031082878150559,-0.23283769457100117
layer1,5739,0,2,0.18271178007125854,1.269561732242131,0.48284237591230006,0.023337004385642988
layer1,515,6,0,0.08810197561979294,-0.13775524357377247,0.2910933988826203,0.1825903756735622
layer1,614,6,0,0.09313692897558212,-0.31121086853477264,-0.36477089052526723,0.33452335192187554
layer1,732,6,0,0.05591462925076485,-0.17643763442792348,0.2351001632352949,0.39434284732330804
layer1,818,6,0,0.08699125796556473,-0.21989609476762378,-0.44644068441713614,0.5061498481097408
layer1,974,6,0,0.07443465292453766,0.006455271863740656,-0.4437657993638682,0.5386080803944806
layer1,1283,6,0,0.0852089375257492,0.387418978021407,0.48690594113459545,0.4644055941862078
layer1,1299,6,0,0.08592375367879868,0.11780183247235797,-0.8234623813807689,0.18007731248712971
layer1,1514,6,0,0.09030637890100479,0.08962321245008954,-0.5857213928284061,0.6162744522266083
layer1,1629,6,0,0.07725700736045837,0.4059136439134844,0.6533913738727921,-0.29009614543749795
layer1,1630,6,0,0.061657700687646866,0.42967145973078574,0.7579068077658615,0.035915453475168065
layer1,1667,6,0,0.07794439792633057,0.5272438911812424,0.5724743384613513,0.39792673978584486
layer1,3022,6,0,0.08445589989423752,-0.7606943745496194,0.7517365648462615,-1.0001209592418148
layer1,3132,6,0,0.0741678923368454,-1.1407341707099143,1.217156609529197,0.02224141673827345
layer1,3237,6,0,0.058089807629585266,-1.3393693295303961,0.24341406678785915,-0.7168895753042652
layer1,3240,6,0,0.05561278015375137,-1.1920181030819508,0.9514921073659484,0.11900792301297171
layer1,3269,6,0,0.09461358934640884,-1.458405228719207,-0.7678352952642057,0.3214398689624881
layer1,3515,6,0,0.06243618577718735,-0.6081503960814032,0.4797174761816201,0.34322042554201665
layer1,3599,6,0,0.07831751555204391,-0.24832459555979802,0.39196573011270663,0.3941829784708021
