window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
4419,0,6,185.53382873535156,1.4133429527282715,31.640403747558594,611.5849609375,9.500413788998685e-10,7.309006946343288e-07,2.2628705664828885e-06
4420,0,6,216.37789916992188,1.1998740434646606,33.69289779663086,660.4678955078125,2.4521373820363124e-10,6.891140742482094e-07,1.0645497923178482e-06
4421,0,6,250.06729125976562,1.504879355430603,33.529422760009766,710.0250854492188,2.335983351198223e-10,6.990330803091638e-07,9.66510128819209e-07
4422,0,6,231.7191619873047,1.8204107284545898,31.424758911132812,683.4806518554688,2.581223845776748e-10,7.326647732952551e-07,1.0554358595982194e-06
4423,0,6,227.01197814941406,1.2535487413406372,26.65488052368164,676.5028686523438,2.597037307427996e-10,8.662439086037921e-07,1.0695835044316482e-06
4424,0,6,394.71038818359375,1.6949623823165894,25.40557289123535,892.0404663085938,2.679270416638957e-10,8.925640031520743e-07,8.238895361500909e-07
4425,0,6,379.4499206542969,2.247661828994751,26.66183090209961,874.6262817382812,2.2367110941168278e-10,8.582124451095297e-07,7.677639359826571e-07
4426,0,6,141.51626586914062,1.9800595045089722,25.8974552154541,534.1318359375,2.20209184220721e-10,8.692115898156771e-07,1.247425075234787e-06
4427,0,6,146.71615600585938,2.261094331741333,23.577075958251953,543.8563232421875,2.279715027864171e-10,9.106360039368155e-07,1.2465260397220845e-06
4428,0,6,134.52748107910156,4.230973720550537,22.748485565185547,520.7757568359375,2.1175944331375263e-10,9.815047405936639e-07,1.2546306606964208e-06
4429,0,6,116.8692855834961,1.2741986513137817,21.653528213500977,485.3951721191406,1.8591955752711442e-10,1.0036809499069932e-06,1.2612823638846749e-06
4430,0,6,455.28302001953125,2.361156940460205,23.20733642578125,958.045166015625,2.377273378151301e-10,9.498437520960579e-07,7.226014417938131e-07
4431,0,6,442.8944396972656,3.256308078765869,28.605690002441406,944.9207153320312,1.9866104594701284e-10,8.027772082641604e-07,6.697400181110424e-07
4432,0,6,95.629638671875,1.9474745988845825,27.254392623901367,439.07781982421875,2.1824002327530678e-10,7.93652532138367e-07,1.5106747923709918e-06
4433,0,6,116.57415771484375,2.550032377243042,28.860462188720703,484.7818908691406,1.944195499037349e-10,7.685242735533393e-07,1.2914239277961315e-06
4434,0,6,117.69389343261719,2.4550254344940186,30.369930267333984,487.1046142578125,2.1337728806081202e-10,7.608843475281901e-07,1.3464715493682888e-06
4435,0,6,62.20059585571289,1.6732934713363647,27.451446533203125,354.113525390625,1.962826845502974e-10,7.979026008797518e-07,1.7764122048902209e-06
4436,0,6,176.44662475585938,2.5401711463928223,27.66328239440918,596.4196166992188,1.9045191812505635e-10,7.969294415488548e-07,1.0389293265689048e-06
4437,0,6,73.78919219970703,0.6946638822555542,24.10451889038086,385.69287109375,2.045291158658813e-10,8.60763861965097e-07,1.664873366280517e-06
4438,0,6,160.71063232421875,0.9501216411590576,24.27687644958496,569.2034912109375,1.9891487068601776e-10,8.602290790804545e-07,1.112528934754664e-06
4439,0,6,235.7734375,1.1468160152435303,24.724441528320312,689.4339599609375,2.2101288854603496e-10,8.442557373200543e-07,9.681916708359495e-07
4440,0,6,253.41175842285156,1.040643334388733,25.587173461914062,714.7573852539062,2.266166559961036e-10,8.536329687558464e-07,9.456546763431106e-07
