window,prediction_mse,layer0_spectral_l1,layer1_spectral_l1,layer2_spectral_l1
186,0.1361234039068222,0.06848466564302182,0.0971327595910672,0.0776297701604029
187,0.15339629352092743,0.06588245517831162,0.09659863163428292,0.07605354845803004
188,0.11952622979879379,0.060277028447124674,0.09512286408526337,0.07166772033977177
189,0.06847117096185684,0.062254766837708836,0.09852010063660178,0.07171912854926749
190,0.07496461272239685,0.0653152010113056,0.09834849866356189,0.07227838455965449
191,0.06886731833219528,0.06886113275940504,0.09715220814997441,0.07216927264280133
192,0.07037970423698425,0.06860236779068062,0.0966211026838827,0.07077824076290132
193,0.07098612189292908,0.06599593860895303,0.09387319618002771,0.07164195557481425
194,0.07040230929851532,0.06026168122269708,0.09268873226842858,0.07089100464217395
195,0.05223102867603302,0.06195815604504811,0.09662711984458859,0.07210061430097339
196,0.047128692269325256,0.06468407802586525,0.09675657761058888,0.07186815285621706
197,0.05006108060479164,0.06828417898882712,0.09614804628129611,0.0743172668947178
198,0.042762015014886856,0.06808021860748527,0.09710258237029396,0.07776776828088776
199,0.046638306230306625,0.06494163752389627,0.09443529727658065,0.07549543177394162
200,0.07144878804683685,0.0597308487862273,0.09193579100429933,0.07238062239990467
201,0.06284653395414352,0.0612397920609689,0.09647640332759638,0.07359075210056994
202,0.04062503203749657,0.06463864744177548,0.096215557883838,0.07410875088430756
203,0.03363806754350662,0.06778933369962248,0.09616897404247915,0.0730950200816291
204,0.03276965394616127,0.06782867503581604,0.09728997237642766,0.07004320127024809
205,0.03911423683166504,0.0647750577356626,0.09449292800800196,0.06958953003820598
206,0.07237815856933594,0.06019294019794175,0.09287581517149017,0.07180601674271811
207,0.09020592272281647,0.06142802264191724,0.09779126354510227,0.07313624618823268
208,0.08153342455625534,0.06499572881607213,0.09832542377517041,0.07116051200364357
209,0.05777844414114952,0.0687816697915161,0.09832288592957038,0.0766832462300298
210,0.059156384319067,0.06908702196252849,0.09945016200557445,0.08024947301318162
211,0.07909528911113739,0.06502747799935281,0.09551347076502292,0.07933674896572178
212,0.08364234864711761,0.06032086703653858,0.09368434402757532,0.074064044678875
213,0.053820911794900894,0.061918736596821074,0.09626945958367292,0.07361943776237324
214,0.058317117393016815,0.06578710826648804,0.09710022468276967,0.07489258530789424
215,0.07626260817050934,0.06960040428794584,0.09711654865774012,0.07534465322770821
216,0.09338482469320297,0.07053450954229147,0.09816441724789349,0.07326771835266109
217,0.09613069891929626,0.06603306029351835,0.0953356534513318,0.07408792900707854
218,0.08727321028709412,0.061278148347943144,0.09329811399002684,0.0722093719812566
219,0.05537347495555878,0.0620350983530555,0.09765968980664756,0.0724192223340678
220,0.049332424998283386,0.0659367784863416,0.09840261465173063,0.07432568193722346
221,0.056797005236148834,0.06969674380701636,0.09823731362568586,0.07672781378205416
222,0.05945271626114845,0.07060558744830829,0.09863870235468095,0.07901897524817501
223,0.07157081365585327,0.06595700029333687,0.09503743406790517,0.07655785847437344
224,0.09155331552028656,0.06122161284781658,0.09272612686750206,0.07276294914087174
225,0.07082200050354004,0.06128184875208104,0.09686803099370044,0.07324477451974826
226,0.05428047478199005,0.06554165144251532,0.09678365259521576,0.07480793904331731
